sensor, output
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
39, 9
71, 17
72, 17
71, 17
69, 17
67, 16
67, 16
66, 16
65, 16
65, 16
65, 16
63, 15
62, 15
64, 15
63, 15
61, 15
22, 5
1, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
70, 17
82, 20
84, 20
83, 20
80, 19
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
